Variable_Name,Group,Description_CN,Original_Operability,Stage_ID,Stage_Name,Stage_Source,Signal_Class,Keep_All,Keep_xin1,Keep_xin2,Decision_Reason,Present_In_Input_Parquet
FX_LT_611,C,二次K6-1贮药箱(贮罐)液位,observable,1,药剂合成,annotated_md,process_state,keep,keep,keep,该变量直接表征矿浆流态、药剂环境或分选状态，建议保留。,yes
MC2_PET101_AI,A,1#新建强磁前浓缩机底流泵出口管道压力,observable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,drop,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_PET201_AI,A,1#机械澄清池底流泵出口管道压力,observable,2,磁选分离,heuristic,magnetic_core_state,keep,keep,drop,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_PET202_AI,B,2#机械澄清池底流泵出口管道压力,observable,2,磁选分离,heuristic,magnetic_core_state,keep,drop,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC501_WKF2_AI,C,2#尾矿阀门实际开度反馈值,observable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC502_LCDL_AI,C,励磁电流值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC502_LCDY_AI,C,励磁电压值,operable,2,磁选分离,heuristic,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC504_LCDL_AI,C,励磁电流值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC505_LCDL_AI,C,励磁电流值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC505_XKYW_AI,C,选矿液位,observable,2,磁选分离,heuristic,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC506_LCDY_AI,C,励磁电压值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC506_WKF2_AI,C,2#尾矿阀门实际开度反馈值,observable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC507_LCDL_AI,C,励磁电流值,operable,2,磁选分离,heuristic,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC507_XKYW_AI,C,选矿液位,observable,2,磁选分离,heuristic,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC508_CKSYL_AI,C,冲矿水压力值,observable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC508_LCDL_AI,C,励磁电流值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
