feature_name,feature_cn,process,role,method,source_var_count,available_var_count,source_vars,reason
agg_mag_excit_voltage,磁选_励磁电压,磁选,励磁电压,mean,13,13,MC2_QC501_LCDY_AI; MC2_QC502_LCDY_AI; MC2_QC506_LCDY_AI; MC2_QC507_LCDY_AI; MC2_QC508_LCDY_AI; MC2_QC510_LCDY_AI; MC2_QC601_LCDY_AI; MC2_QC602_LCDY_AI; MC2_QC606_LCDY_AI; MC2_QC607_LCDY_AI; MC2_QC608_LCDY_AI; MC2_QC609_LCDY_AI; MC2_QC610_LCDY_AI,强磁机励磁电压是磁选强度的直接控制量，13 台并联机器取均值反映全区励磁水平。
agg_mag_excit_current,磁选_励磁电流,磁选,励磁电流,mean,12,12,MC2_QC501_LCDL_AI; MC2_QC502_LCDL_AI; MC2_QC503_LCDL_AI; MC2_QC504_LCDL_AI; MC2_QC505_LCDL_AI; MC2_QC507_LCDL_AI; MC2_QC508_LCDL_AI; MC2_QC510_LCDL_AI; MC2_QC601_LCDL_AI; MC2_QC607_LCDL_AI; MC2_QC608_LCDL_AI; MC2_QC609_LCDL_AI,强磁机励磁电流是磁场强度的实际测量值，12 台并联机器取均值。
agg_mag_coil_temp,磁选_线圈温度,磁选,线圈温度,mean,10,10,MC2_QC501_XQWD_AI; MC2_QC503_XQWD_AI; MC2_QC504_XQWD_AI; MC2_QC506_XQWD_AI; MC2_QC507_XQWD_AI; MC2_QC508_XQWD_AI; MC2_QC601_XQWD_AI; MC2_QC606_XQWD_AI; MC2_QC607_XQWD_AI; MC2_QC609_XQWD_AI,线圈温度反映磁选机热负荷状态，取均值作为全区代表温度。
agg_mag_tailings_valve1,磁选_1号尾矿阀开度,磁选,尾矿阀1开度,mean,10,10,MC2_QC501_WKF1_AI; MC2_QC509_WKF1_AI; MC2_QC510_WKF1_AI; MC2_QC601_WKF1_AI; MC2_QC603_WKF1_AI; MC2_QC606_WKF1_AI; MC2_QC607_WKF1_AI; MC2_QC608_WKF1_AI; MC2_QC609_WKF1_AI; MC2_QC610_WKF1_AI,1# 尾矿阀门开度控制排尾量，10 台并联取均值。
agg_mag_tailings_valve2,磁选_2号尾矿阀开度,磁选,尾矿阀2开度,mean,14,14,MC2_QC501_WKF2_AI; MC2_QC502_WKF2_AI; MC2_QC503_WKF2_AI; MC2_QC504_WKF2_AI; MC2_QC505_WKF2_AI; MC2_QC506_WKF2_AI; MC2_QC507_WKF2_AI; MC2_QC508_WKF2_AI; MC2_QC510_WKF2_AI; MC2_QC602_WKF2_AI; MC2_QC606_WKF2_AI; MC2_QC607_WKF2_AI; MC2_QC609_WKF2_AI; MC2_QC610_WKF2_AI,2# 尾矿阀门开度与 1# 合并可看出阀门调节整体状态，14 台并联取均值。
agg_mag_blowdown_valve,磁选_排污阀开度,磁选,排污阀开度,mean,10,10,MC2_QC501_PWF_AI; MC2_QC502_PWF_AI; MC2_QC503_PWF_AI; MC2_QC507_PWF_AI; MC2_QC510_PWF_AI; MC2_QC606_PWF_AI; MC2_QC607_PWF_AI; MC2_QC608_PWF_AI; MC2_QC609_PWF_AI; MC2_QC610_PWF_AI,排污阀开度反映磁选机排矿状态，10 台并联取均值。
agg_mag_pulsation_freq,磁选_脉动电机频率,磁选,脉动频率,mean,19,19,MC2_QC501_MDPL_AI; MC2_QC502_MDPL_AI; MC2_QC503_MDPL_AI; MC2_QC504_MDPL_AI; MC2_QC505_MDPL_AI; MC2_QC506_MDPL_AI; MC2_QC507_MDPL_AI; MC2_QC508_MDPL_AI; MC2_QC509_MDPL_AI; MC2_QC510_MDPL_AI; MC2_QC601_MDPL_AI; MC2_QC602_MDPL_AI; MC2_QC603_MDPL_AI; MC2_QC604_MDPL_AI; MC2_QC606_MDPL_AI; MC2_QC607_MDPL_AI; MC2_QC608_MDPL_AI; MC2_QC609_MDPL_AI; MC2_QC610_MDPL_AI,脉动频率直接影响磁选分离效果，19 台并联取均值为全区脉动水平代表。
agg_mag_ring_freq,磁选_转环频率,磁选,转环频率,mean,13,13,MC2_QC501_ZHPL_AI; MC2_QC502_ZHPL_AI; MC2_QC507_ZHPL_AI; MC2_QC508_ZHPL_AI; MC2_QC509_ZHPL_AI; MC2_QC510_ZHPL_AI; MC2_QC601_ZHPL_AI; MC2_QC602_ZHPL_AI; MC2_QC604_ZHPL_AI; MC2_QC607_ZHPL_AI; MC2_QC608_ZHPL_AI; MC2_QC609_ZHPL_AI; MC2_QC610_ZHPL_AI,转环频率控制磁选机矿浆处理速率，13 台并联取均值。
agg_mag_level,磁选_选矿液位,磁选,选矿液位,mean,9,9,MC2_QC501_XKYW_AI; MC2_QC504_XKYW_AI; MC2_QC505_XKYW_AI; MC2_QC507_XKYW_AI; MC2_QC508_XKYW_AI; MC2_QC601_XKYW_AI; MC2_QC606_XKYW_AI; MC2_QC609_XKYW_AI; MC2_QC610_XKYW_AI,磁选槽内液位反映矿浆充填程度，9 台并联取均值。注：部分仪表精度较低。
agg_mag_flush_water_pressure,磁选_冲矿水压力,磁选,冲矿水压力,mean,5,5,MC2_QC502_CKSRKYL_AI; MC2_QC508_CKSYL_AI; MC2_QC510_CKSYL_AI; MC2_QC610_CKSYL_AI; MC2_QC609_CKSCKYL_AI,冲矿水压力（入口/总/出口）反映磁选区冲洗条件，5 个代表测点取均值。
