NAME,TYPE,UNIT,ADDR,RAW_ZERO,RAW_FULL,ENG_ZERO,ENG_FULL,ENG_UNITS,FORMAT,COMMENT,EDITCODE,LINKED,OID,REF1,REF2,DEADBAND,CUSTOM,TAGGENLINK,CLUSTER,EQUIP,ITEM,HISTORIAN,CUSTOM1,CUSTOM2,CUSTOM3,CUSTOM4,CUSTOM5,CUSTOM6,CUSTOM7,CUSTOM8,Category,Reason
MC1_TM201DL_AI,REAL,MC1_IODev,%MW2,,,,,,,1#塔磨机电流,,,0x0001b4a0,,,,,,,,,,,,,,,,,,probable,塔磨机电流是反映磨机内部做功负荷的核心参数，直接决定了矿石的单体解离度，解离度是后续磁选提高精矿品位的基础。
MC1_TM202DL_AI,REAL,MC1_IODev,%MW4,,,,,,,2#塔磨机电流,,,0x0001b4a1,,,,,,,,,,,,,,,,,,probable,塔磨机电流直接反映磨矿强度和物料解离效果，是品位预测模型中最核心的特征之一。
MC1_TM203DL_AI,REAL,MC1_IODev,%MW6,,,,,,,3#塔磨机电流,,,0x0001b4a2,,,,,,,,,,,,,,,,,,probable,塔磨机的工作电流与给料量及内部钢球负荷直接相关，对溢流细度和最终铁品位有绝对的因果关系。
MC1_TM204DL_AI,REAL,MC1_IODev,%MW8,,,,,,,4#塔磨机电流,,,0x0001b4a3,,,,,,,,,,,,,,,,,,probable,该连续变量反映塔磨机研磨矿浆的功率输入，若发生电流突降则可能意味空转跑粗，严重影响精矿品位。
MC1_TM205DL_AI,REAL,MC1_IODev,%MW10,,,,,,,5#塔磨机电流,,,0x0001b4a4,,,,,,,,,,,,,,,,,,probable,塔磨机定子电流是衡量微细粒赤铁矿解离状况的关键连续变量，强相关于精矿品位和降硅效果。
MC1_TM206DL_AI,REAL,MC1_IODev,%MW12,,,,,,,6#塔磨机电流,,,0x0001b4a5,,,,,,,,,,,,,,,,,,probable,反映6#塔磨机的实时粉碎效能，磨矿不充分会产生连生体，直接导致强磁选精矿品位变差。
MC1_FET101_AI,REAL,MC1_IODev,%MW18,,,,,,,1#三次分级旋流器沉砂加水管道流量,,,0x0001b4a8,,,,,,,,,,,,,,,,,,probable,沉砂加水流量决定了底流返回塔磨机时的矿浆浓度，浓度过高或过低都会破坏磨矿效率，直接影响最终产品细度和品位。
MC1_FV101_AI,REAL,MC1_IODev,%MW20,,,,,,,1#三次分级旋流器沉砂加水管道阀位反馈,,,0x0001b4a9,,,,,,,,,,,,,,,,,,probable,阀位反馈代表实际加水动作的开度，是决定沉砂浓度的控制手柄，与加水流量强相关，直接影响塔磨机磨矿状态。
MC1_FET102_AI,REAL,MC1_IODev,%MW22,,,,,,,1#三次分级旋流器给矿管道流量,,,0x0001b4aa,,,,,,,,,,,,,,,,,,probable,旋流器给矿流量决定了旋流器的处理量和内部流场离心力，是决定溢流粒度和“跑粗”风险的核心流体参数。
MC1_LET101_AI,REAL,MC1_IODev,%MW26,,,,,,,1#三次分级旋流器给矿泵池液位,,,0x0001b4ac,,,,,,,,,,,,,,,,,,probable,泵池液位波动会导致给矿泵喘振或抽空，直接破坏旋流器分级的给矿压力和稳定性，是防跑粗的关键特征。
MC1_FET103_AI,REAL,MC1_IODev,%MW28,,,,,,,1#三次分级旋流器给矿泵池加水管道流量,,,0x0001b4ad,,,,,,,,,,,,,,,,,,probable,泵池加水流量直接调节入料矿浆浓度，如果给矿太浓会引起溢流跑粗，是决定旋流器分级效率和最终品位的核心变量。
MC1_LV101_AI,REAL,MC1_IODev,%MW30,,,,,,,1#三次分级旋流器给矿泵池加水管道阀位反馈,,,0x0001b4ae,,,,,,,,,,,,,,,,,,probable,加水阀门实际反馈开度，反映了系统入料浓度的调节力度，与浓度波动和品位有着明确的因果关系。
MC1_FET201_AI,REAL,MC1_IODev,%MW34,,,,,,,2#三次分级旋流器沉砂加水管道流量,,,0x0001b4b0,,,,,,,,,,,,,,,,,,probable,调节2#旋流器底流进入塔磨前的浓度，防止塔磨机糊球或物料短路，直接影响磨矿质量。
MC1_FV201_AI,REAL,MC1_IODev,%MW36,,,,,,,2#三次分级旋流器沉砂加水管道阀位反馈,,,0x0001b4b1,,,,,,,,,,,,,,,,,,probable,该阀门的实际开度反馈验证了沉砂加水量的执行情况，是评估磨矿浓度控制闭环的重要连续变量。
MC1_FET202_AI,REAL,MC1_IODev,%MW38,,,,,,,2#三次分级旋流器给矿管道流量,,,0x0001b4b2,,,,,,,,,,,,,,,,,,probable,2#旋流器入料总流量，决定单台设备的负荷，流量过大可能导致分级恶化跑粗，属于核心工艺特征。
MC1_FET301_AI,REAL,MC1_IODev,%MW50,,,,,,,3#三次分级旋流器沉砂加水管道流量,,,0x0001b4b8,,,,,,,,,,,,,,,,,,probable,3#旋流器沉砂加水影响对应塔磨机的给料浓度，是维持有效解离度的关键工艺参数。
MC1_FV301_AI,REAL,MC1_IODev,%MW52,,,,,,,3#三次分级旋流器沉砂加水管道阀位反馈,,,0x0001b4b9,,,,,,,,,,,,,,,,,,probable,3#沉砂加水阀位反馈真实反映了流体控制状态，和水量一起决定塔磨状态，高度相关。
MC1_FET302_AI,REAL,MC1_IODev,%MW54,,,,,,,3#三次分级旋流器给矿管道流量,,,0x0001b4ba,,,,,,,,,,,,,,,,,,probable,3#旋流器的处理矿量反馈，决定了离心分级力场强度，直接关联溢流产品细度。
MC1_LET301_AI,REAL,MC1_IODev,%MW58,,,,,,,2#三次分级旋流器给矿泵池液位,,,0x0001b4bc,,,,,,,,,,,,,,,,,,probable,2#给矿泵池液位是物料平衡的脉搏，液位失控意味着供料脉动，会导致后续旋流器和磁选机状态全部崩溃。
MC1_FET303_AI,REAL,MC1_IODev,%MW60,,,,,,,2#三次分级旋流器给矿泵池加水管道流量,,,0x0001b4bd,,,,,,,,,,,,,,,,,,probable,通过向给矿泵池补水改变矿浆流体黏度，防止粗颗粒混入溢流进入强磁选，是控制二氧化硅(SiO2)降低的关键手段。
